"시점","통계분류(1)","통계분류(2)",항목,데이터
"2021","연령","70세 이상",기타,0.3
"2021","연령","70세 이상",사전 예약하지 않았음,83.9
"2022","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),28.6
"2022","성별","남자",교통수단(항공 선박 철도 버스 등),7.1
"2022","성별","남자",차량대여/렌트,3.9
"2022","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"2022","성별","남자",식당,1.1
"2022","성별","남자",관광명소(유적지 국립공원 등),0.5
"2022","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","남자",기타,0.1
"2022","성별","남자",사전 예약하지 않았음,66.4
"2022","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),29
"2022","성별","여자",교통수단(항공 선박 철도 버스 등),8.9
"2022","성별","여자",차량대여/렌트,4.9
"2022","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),1.3
"2022","성별","여자",식당,1.1
"2022","성별","여자",관광명소(유적지 국립공원 등),0.6
"2022","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"2022","성별","여자",기타,0.2
"2022","성별","여자",사전 예약하지 않았음,66.5
"2022","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),25.6
"2022","연령","15~19세",교통수단(항공 선박 철도 버스 등),12.2
"2022","연령","15~19세",차량대여/렌트,3.8
"2022","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),3.3
"2022","연령","15~19세",식당,1
"2022","연령","15~19세",관광명소(유적지 국립공원 등),0.7
"2022","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),1.1
"2022","연령","15~19세",기타,1.1
"2022","연령","15~19세",사전 예약하지 않았음,64.9
"2022","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),32
"2022","연령","20대",교통수단(항공 선박 철도 버스 등),13
"2022","연령","20대",차량대여/렌트,6
"2022","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),2.3
"2022","연령","20대",식당,0.7
"2022","연령","20대",관광명소(유적지 국립공원 등),0.4
"2022","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"2022","연령","20대",기타,0.3
"2022","연령","20대",사전 예약하지 않았음,61.2
"2022","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),33.4
"2022","연령","30대",교통수단(항공 선박 철도 버스 등),8.5
"2022","연령","30대",차량대여/렌트,5
